Code, K, Error, Time
Serial,8,0.0038986305395463,0.0001934719985002
Omp_2,8,0.0038986305395465,0.0001062839983206
Omp_4,8,0.0038986305395465,0.0001281549994019
Omp_8,8,0.0038986305395456,0.0002697870004340
,,,
Serial,8,0.0038986305395463,0.0000219345092773
MPI_2,8,0.0038986305395465,0.0000989437103271
MPI_4,8,0.0038986305395463,0.0002009868621826
MPI_8,8,0.0038986305395461,0.0003471374511719
,,,
Serial,14,0.0000610332936408,0.0011331070018059
Omp_2,14,0.0000610332936415,0.0007572040012747
Omp_4,14,0.0000610332936333,0.0006754050009476
Omp_8,14,0.0000610332936393,0.0009994430001825
,,,
Serial,14,0.0000610332936408,0.0011331070018059
MPI_2,14,0.0000610332936415,0.0011870861053467
MPI_4,14,0.0000610332936331,0.0012519359588623
MPI_8,14,0.0000610332936393,0.0025188922882080
,,,
Serial,20,0.0000009536738208,0.0247338049994141
Omp_2,20,0.0000009536738284,0.0155699779970746
Omp_4,20,0.0000009536738357,0.0138467489996401
Omp_8,20,0.0000009536738357,0.0137064320006175
,,,
Serial,20,0.0000009536738208,0.0491686479654163
MPI_2,20,0.0000009536738284,0.0611720085144043
MPI_4,20,0.0000009536738357,0.0622839927673340
MPI_8,20,0.0000009536738357,0.0641870498657227
,,,
Serial,26,0.0000000151859143,1.0631404470004800
Omp_2,26,0.0000000149396666,0.5710038470024300
Omp_4,26,0.0000000149059691,0.3339742060015850
Omp_8,26,0.0000000149017272,0.3414282080011620
,,,
Serial,26,0.0000000151859143,2.1248290538787800
MPI_2,26,0.0000000149396666,2.2242410182952900
MPI_4,26,0.0000000149059691,2.2145659923553500
MPI_8,26,0.0000000149017272,2.2460229873657200
